origem;destino;veiculo;custo;fluxo;caminho
0;17;11;1.0689;59.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84, (14, 16): 0.5459999999999999, (14, 17): 0.1575}
1;0;11;inf;inf;{}
1;1;11;0;0;{}
1;2;11;0.22049999999999997;8.5;{(1, 2): 0.22049999999999997}
1;3;11;0.24149999999999996;17.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021}
1;4;11;0.5145;25.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996}
1;5;11;0.45149999999999996;25.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21}
1;6;11;0.87675;42.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002}
1;7;11;0.5523;34.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378}
1;8;11;0.7035;34.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003}
1;9;11;0.4725;17.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252}
1;10;11;0.5019;34.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504}
1;11;11;0.9554999999999999;34.0;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504}
1;12;11;0.5145;25.5;{(1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996}
